exclude,Film ,Lead Studio,Rotten Tomatoes %,Audience  score %,Story,Genre,Number of Theatres in US Opening Weekend,Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profitability,Opening Weekend,Oscar,Bafta,Source,,,,,
,,,,,,,,($),($m),($m),($m),($m),% of budget recovered,($m),,,,,,,,
,Johnny English Reborn,Relativity Media,38,55,Comedy,Comedy,1552,2470,8.31,149.63,157.94,45,350.98%,3.83,,,http://boxofficemojo.com/movies/?id=johnnyenglish2.htm,,,,,
,Drive Angry,Independant,45,38,Rescue,Action,2990,2265,10.72,18.21,28.93,45,64.29%,5.19,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/02/movie-projector-hall-pass-farrelly-brothers-drive-angry-nicolas-cage.html,,,,,
,The Rum Diary,Independant,50,48,Discovery,Drama,2273,2259,13.07,8.48,21.55,45,47.89%,5.14,,,http://boxofficemojo.com/movies/?id=rumdiary.htm,,,,,
,Priest,Sony,17,37,Monster Force,Action,2864,2221,29.14,49.17,78.31,60,130.51%,14.95,,,http://boxofficemojo.com/movies/?id=priest07.htm,,,,,
,Mars Needs Moms,Disney,36,43,Rescue,Animation,3117,2218,21.39,17.60,38.99,150,25.99%,6.91,,,http://boxofficemojo.com/movies/?id=marsneedsmoms.htm,,,,,
,What's Your Number,20th Century Fox,24,50,Transformation,Comedy,3002,1806,14.01,16.42,30.43,20,152.13%,5.42,,,http://boxofficemojo.com/movies/?id=whatsyournumber.htm,,,,,
,Take Me Home Tonight,Relativity,28,46,Discovery,Comedy,2003,1730,6.93,?,6.93,25,27.71%,3.46,,,http://goforamovie.com/tag/take-me-home-tonight-budget/,,,,,
,The Big Year,Independant,38,62,Transformation,Comedy,2150,1513,7.17,0.24,7.41,41,18.07%,3.25,,,http://boxofficemojo.com/movies/?id=bigyear.htm,,,,,
,Never Back Down 2: The Beatdown,Sony,?,?,Rivalry,Action,,,,,41.63,3,1387.57%,8.60,,,http://www.imdb.com/title/tt1754264/,,,,,
,A Dangerous Method,Independant,79,89,Love,Drama,,,0.54,8.44,8.97,20,44.86%,0.17,,,http://boxofficemojo.com/movies/?id=dangerousmethod.htm,,,,,
,Take Shelter,Independant,92,85,Sacrifice,Drama,,,1.57,?,1.57,5,31.46%,0.05,,,http://boxofficemojo.com/movies/?id=takeshelter.htm,,,,,
,Beginners,Independant,84,80,Love,Comedy,,,5.79,8.39,14.18,3.2,443.19%,0.14,,,http://boxofficemojo.com/movies/?id=beginners.htm,,,,,
,Jane Eyre,Universal,85,77,Love,Romance,,,11.24,18.91,30.15,??,,0.18,,,,,,,,
,Another Earth,Independant,63,74,Temptation,Fantasy,,,1.32,,1.32,0.2,660.50%,0.08,,,http://boxofficemojo.com/movies/?id=anotherearth.htm,,,,,
,Margin Call,Independant,86,73,Sacrifice,Thriller,,,4.94,3.93,8.87,3.5,253.40%,0.56,,,http://boxofficemojo.com/movies/?id=margincall.htm,,,,,
,Machine Gun Preacher,Lionsgate,29,71,Transformation,Action,,,0.54,0.57,1.10,30,3.68%,0.05,,,http://boxofficemojo.com/movies/?id=machinegunpreacher.htm,,,,,
,Hesher,Independant,54,68,Wretched Excess,Drama,,,0.38,??,0.38,7,5.46%,0.13,,,http://boxofficemojo.com/movies/?id=hesher.htm,,,,,
,Vanishing on 7th Street,Independant,52,62,Monster Force,Horror,,,0.02,1.05,1.07,10,10.67%,0.00,,,http://en.wikipedia.org/wiki/Vanishing_on_7th_Street,,,,,
,Cedar Rapids,20th Century Fox,86,61,Maturation,Comedy,,,6.86,,6.86,10,68.61%,0.30,,,http://qctimes.com/news/local/article_b7491eb8-3d68-11e0-b394-001cc4c03286.html,,,,,
,The Son Of No One,Independant,18,61,Discovery,Thriller,,,0.03,?,0.03,15,0.20%,0.02,,,http://en.wikipedia.org/wiki/The_Son_of_No_One,,,,,
,Red State,Independant,57,59,Escape,Horror,,,1.10,?,1.10,4,27.60%,?,,,http://www.movieline.com/2011/04/how-kevin-smiths-red-state-earned-back-its-budget-six-months-before-release.php,,,,,
,Everything Must Go,Reliance Entertainment,74,53,Discovery,Drama,,,2.71,,2.71,5,54.22%,0.79,,,http://boxofficemojo.com/movies/?id=everythingmustgo.htm,,,,,
,Dylan Dog: Dead of Night,Independant,6,28,Monster Force,Horror,,,1.19,3.45,4.63,20,23.17%,0.75,,,http://boxofficemojo.com/movies/?id=dylandog.htm,,,,,
,Trespass,Independant,11,24,Escape,Thriller,,,0.02,3.10,3.12,35,8.93%,0.02,,,http://en.wikipedia.org/wiki/Trespass_%282011_film%29,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
